,bbox,text,confidence
0,"[[np.int32(187), 0], [np.int32(301), 0], [np.int32(301), np.int32(33)], [np.int32(187), np.int32(33)]]",Siet,0.0035699596628546715
1,"[[np.int32(125), np.int32(22)], [np.int32(502), np.int32(22)], [np.int32(502), np.int32(135)], [np.int32(125), np.int32(135)]]",Lathamis,0.23856349141775518
2,"[[np.int32(617), 0], [np.int32(657), 0], [np.int32(657), np.int32(197)], [np.int32(617), np.int32(197)]]",!,0.2255232234361415
3,"[[np.int32(272), np.int32(494)], [np.int32(384), np.int32(494)], [np.int32(384), np.int32(527)], [np.int32(272), np.int32(527)]]", ( DRII) |,0.30962152658032316
4,"[[np.int32(399), np.int32(487)], [np.int32(482), np.int32(487)], [np.int32(482), np.int32(518)], [np.int32(399), np.int32(518)]]",Va-huat,0.05945319691000566
5,"[[np.int32(274), np.int32(524)], [np.int32(394), np.int32(524)], [np.int32(394), np.int32(554)], [np.int32(274), np.int32(554)]]",(iallle + | !lle,0.036231758438618554
6,"[[np.int32(276), np.int32(552)], [np.int32(398), np.int32(552)], [np.int32(398), np.int32(584)], [np.int32(276), np.int32(584)]]","J01+ S} 4I""",0.012052708667918587
7,"[[np.int32(414), np.int32(550)], [np.int32(492), np.int32(550)], [np.int32(492), np.int32(574)], [np.int32(414), np.int32(574)]]",1 ( eHiUe:,0.026399840093948152
8,"[[np.int32(280), np.int32(586)], [np.int32(308), np.int32(586)], [np.int32(308), np.int32(610)], [np.int32(280), np.int32(610)]]",Zw,0.3661167929325129
9,"[[np.int32(402), np.int32(578)], [np.int32(436), np.int32(578)], [np.int32(436), np.int32(602)], [np.int32(402), np.int32(602)]]",Xz,0.09176135807538129
10,"[[np.int32(435), np.int32(567)], [np.int32(528), np.int32(567)], [np.int32(528), np.int32(604)], [np.int32(435), np.int32(604)]]","17v1""08'",0.09328432730923651
11,"[[np.int32(317), np.int32(611)], [np.int32(388), np.int32(611)], [np.int32(388), np.int32(641)], [np.int32(317), np.int32(641)]]",Iueust,0.17965030884959104
12,"[[np.int32(280), np.int32(642)], [np.int32(342), np.int32(642)], [np.int32(342), np.int32(670)], [np.int32(280), np.int32(670)]]",ix (;,0.19641000226359676
13,"[[np.int32(384), np.int32(640)], [np.int32(450), np.int32(640)], [np.int32(450), np.int32(664)], [np.int32(384), np.int32(664)]]",WisLin,0.14617263041147133
14,"[[np.int32(347), np.int32(725)], [np.int32(523), np.int32(725)], [np.int32(523), np.int32(758)], [np.int32(347), np.int32(758)]]",MAulit e lt,0.05294041751806454
15,"[[np.int32(345), np.int32(743)], [np.int32(480), np.int32(743)], [np.int32(480), np.int32(784)], [np.int32(345), np.int32(784)]]",Maile,0.04903349624016484
16,"[[np.int32(344), np.int32(766)], [np.int32(402), np.int32(766)], [np.int32(402), np.int32(798)], [np.int32(344), np.int32(798)]]",33,0.29942239694258305
17,"[[np.int32(322), np.int32(861)], [np.int32(521), np.int32(861)], [np.int32(521), np.int32(971)], [np.int32(322), np.int32(971)]]",NA,0.9996244079485493
18,"[[np.int32(385), np.int32(945)], [np.int32(499), np.int32(945)], [np.int32(499), np.int32(1053)], [np.int32(385), np.int32(1053)]]",1,0.557938710939542
19,"[[np.int32(433), np.int32(1133)], [np.int32(479), np.int32(1133)], [np.int32(479), np.int32(1169)], [np.int32(433), np.int32(1169)]]",UF,0.9965836023988928
20,"[[np.int32(433), np.int32(1174)], [np.int32(539), np.int32(1174)], [np.int32(539), np.int32(1210)], [np.int32(433), np.int32(1210)]]",FLMNH,0.9992876529212922
21,"[[np.int32(345), np.int32(1215)], [np.int32(551), np.int32(1215)], [np.int32(551), np.int32(1255)], [np.int32(345), np.int32(1255)]]",MGCL 1152700,0.9715700738104472
22,"[[np.float64(313.5430712064641), np.float64(580.3775281716354)], [np.float64(392.68328157299976), np.float64(572.6583592135001)], [np.float64(395.4569287935359), np.float64(603.6224718283646)], [np.float64(315.31671842700024), np.float64(611.3416407864999)]]","It, 984""",0.09118128732336493
23,"[[np.float64(386.4789396203098), np.float64(607.4141973545267)], [np.float64(443.60787035678385), np.float64(602.5170933265347)], [np.float64(444.5210603796902), np.float64(629.5858026454733)], [np.float64(387.39212964321615), np.float64(634.4829066734653)]]",2liS,0.06679504364728928
