,bbox,text,confidence
0,"[[np.int32(578), np.int32(346)], [np.int32(1529), np.int32(346)], [np.int32(1529), np.int32(583)], [np.int32(578), np.int32(583)]]",Pheebig Sethag,0.16797607951064977
1,"[[np.int32(748), np.int32(518)], [np.int32(1356), np.int32(518)], [np.int32(1356), np.int32(715)], [np.int32(748), np.int32(715)]]",maxcellina,0.5007065515451444
2,"[[np.int32(614), np.int32(968)], [np.int32(727), np.int32(968)], [np.int32(727), np.int32(1121)], [np.int32(614), np.int32(1121)]]",8,0.6155198423163064
3,"[[np.int32(1136), np.int32(1479)], [np.int32(1397), np.int32(1479)], [np.int32(1397), np.int32(1567)], [np.int32(1136), np.int32(1567)]]",#wzuF,0.01797911701966751
4,"[[np.int32(1284), np.int32(1579)], [np.int32(1529), np.int32(1579)], [np.int32(1529), np.int32(1676)], [np.int32(1284), np.int32(1676)]]",FLMNH,0.9998124462551202
5,"[[np.int32(1090), np.int32(1656)], [np.int32(1539), np.int32(1656)], [np.int32(1539), np.int32(1761)], [np.int32(1090), np.int32(1761)]]",MGCL 1167603,0.972782059037696
6,"[[np.int32(807), np.int32(1793)], [np.int32(901), np.int32(1793)], [np.int32(901), np.int32(1862)], [np.int32(807), np.int32(1862)]]","P,",0.38332223461699083
7,"[[np.int32(935), np.int32(1821)], [np.int32(1019), np.int32(1821)], [np.int32(1019), np.int32(1869)], [np.int32(935), np.int32(1869)]]",(20,0.24011429988921112
8,"[[np.int32(1049), np.int32(1814)], [np.int32(1320), np.int32(1814)], [np.int32(1320), np.int32(1893)], [np.int32(1049), np.int32(1893)]]",bunnlae,0.1642858151677839
9,"[[np.int32(794), np.int32(1861)], [np.int32(1567), np.int32(1861)], [np.int32(1567), np.int32(1990)], [np.int32(794), np.int32(1990)]]",Bentsen-flo Grande,0.3616031563209609
10,"[[np.int32(1030), np.int32(1962)], [np.int32(1230), np.int32(1962)], [np.int32(1230), np.int32(2061)], [np.int32(1030), np.int32(2061)]]",Perk,0.8127214908599854
11,"[[np.int32(1318), np.int32(2061)], [np.int32(1497), np.int32(2061)], [np.int32(1497), np.int32(2145)], [np.int32(1318), np.int32(2145)]]","Tex,",0.8302372097969055
12,"[[np.int32(779), np.int32(2108)], [np.int32(924), np.int32(2108)], [np.int32(924), np.int32(2189)], [np.int32(779), np.int32(2189)]]",Oct,0.9983501595449743
13,"[[np.int32(1110), np.int32(2125)], [np.int32(1306), np.int32(2125)], [np.int32(1306), np.int32(2223)], [np.int32(1110), np.int32(2223)]]",1977,0.8105118274688721
14,"[[np.int32(1112), np.int32(2284)], [np.int32(1438), np.int32(2284)], [np.int32(1438), np.int32(2351)], [np.int32(1112), np.int32(2351)]]",Odor &lla,0.27477327889335007
15,"[[np.int32(1108), np.int32(2338)], [np.int32(1476), np.int32(2338)], [np.int32(1476), np.int32(2415)], [np.int32(1108), np.int32(2415)]]",MOCL Ax,0.6224290996442816
16,"[[np.int32(1110), np.int32(2403)], [np.int32(1309), np.int32(2403)], [np.int32(1309), np.int32(2467)], [np.int32(1110), np.int32(2467)]]",2003-],0.7459780682696416
17,"[[np.float64(797.0061162653263), np.float64(1939.0550463879374)], [np.float64(1025.8341313840579), np.float64(1969.280080615493)], [np.float64(1010.9938837346737), np.float64(2046.9449536120626)], [np.float64(782.165868615942), np.float64(2016.719919384507)]]",State,0.9799030349908412
18,"[[np.float64(795.0428759335574), np.float64(2015.0459097089972)], [np.float64(1101.9059068675488), np.float64(2054.63142076172)], [np.float64(1085.9571240664425), np.float64(2138.954090291003)], [np.float64(778.0940931324512), np.float64(2099.36857923828)]]",Hidalgo,0.6547464838045104
19,"[[np.float64(1121.914249429668), np.float64(2045.0740208365764)], [np.float64(1232.2714653974147), np.float64(2060.66446541403)], [np.float64(1219.085750570332), np.float64(2133.9259791634236)], [np.float64(1108.7285346025853), np.float64(2117.33553458597)]]",Co _,0.5451501060494675
20,"[[np.float64(954.8449914182544), np.float64(2112.0669261969874)], [np.float64(1092.3405183485108), np.float64(2135.428625337334)], [np.float64(1075.1550085817457), np.float64(2217.9330738030126)], [np.float64(937.6594816514892), np.float64(2194.571374662666)]]","29,",0.27532127809510093
