bbox,text,confidence
"[[np.int32(125), np.int32(21)], [np.int32(503), np.int32(21)], [np.int32(503), np.int32(134)], [np.int32(125), np.int32(134)]]",Latlznis,0.21451297687898385
"[[np.int32(617), np.int32(5)], [np.int32(657), np.int32(5)], [np.int32(657), np.int32(195)], [np.int32(617), np.int32(195)]]",!,0.11856588737725193
"[[np.int32(266), np.int32(477)], [np.int32(527), np.int32(477)], [np.int32(527), np.int32(513)], [np.int32(266), np.int32(513)]]",FLODRIDA: Alechue Cto::,0.09527091348854629
"[[np.int32(267), np.int32(508)], [np.int32(392), np.int32(508)], [np.int32(392), np.int32(541)], [np.int32(267), np.int32(541)]]",(tainextille,0.29009964727766335
"[[np.int32(269), np.int32(533)], [np.int32(487), np.int32(533)], [np.int32(487), np.int32(571)], [np.int32(269), np.int32(571)]]","2004 SE 41"" Averur",0.32826082322407174
"[[np.int32(268), np.int32(560)], [np.int32(523), np.int32(560)], [np.int32(523), np.int32(598)], [np.int32(268), np.int32(598)]]","29*J6.9SN. 82""17.91W'",0.45044618216497995
"[[np.int32(269), np.int32(593)], [np.int32(439), np.int32(593)], [np.int32(439), np.int32(630)], [np.int32(269), np.int32(630)]]",J August 208,0.17834145775372592
"[[np.int32(269), np.int32(623)], [np.int32(439), np.int32(623)], [np.int32(439), np.int32(661)], [np.int32(269), np.int32(661)]]",leg (;. T. Auxtin,0.5909100308253677
"[[np.int32(320), np.int32(694)], [np.int32(532), np.int32(694)], [np.int32(532), np.int32(724)], [np.int32(320), np.int32(724)]]",GT: Austin colln:,0.8088269819257771
"[[np.int32(669), np.int32(683)], [np.int32(683), np.int32(683)], [np.int32(683), np.int32(713)], [np.int32(669), np.int32(713)]]",{,0.020752657003575203
"[[np.int32(318), np.int32(719)], [np.int32(537), np.int32(719)], [np.int32(537), np.int32(757)], [np.int32(318), np.int32(757)]]",MGCL Kccession,0.5775381754126341
"[[np.int32(341), np.int32(755)], [np.int32(429), np.int32(755)], [np.int32(429), np.int32(791)], [np.int32(341), np.int32(791)]]",2(X)8-[,0.3623065484617898
"[[np.int32(347), np.int32(853)], [np.int32(519), np.int32(853)], [np.int32(519), np.int32(945)], [np.int32(347), np.int32(945)]]",DNA,0.9968997110268556
"[[np.int32(387), np.int32(945)], [np.int32(475), np.int32(945)], [np.int32(475), np.int32(1039)], [np.int32(387), np.int32(1039)]]",2,0.9562362404269606
"[[np.int32(430), np.int32(1112)], [np.int32(474), np.int32(1112)], [np.int32(474), np.int32(1144)], [np.int32(430), np.int32(1144)]]",UF,0.9989518002670813
"[[np.int32(429), np.int32(1152)], [np.int32(537), np.int32(1152)], [np.int32(537), np.int32(1188)], [np.int32(429), np.int32(1188)]]",FLMNH,0.9994805117966384
"[[np.int32(345), np.int32(1195)], [np.int32(549), np.int32(1195)], [np.int32(549), np.int32(1231)], [np.int32(345), np.int32(1231)]]",MGCL 1152779],0.9755965973292811
