id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163568,MGCL 1163568_0373.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163568,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163570,MGCL 1163570_8061.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163570,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163571,MGCL 1163571_8063.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163571,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163572,MGCL 1163572_8065.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163572,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163573,MGCL 1163573_8067.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163573,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163574,MGCL 1163574_8069.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163574,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163575,MGCL 1163575_8072.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163575,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163576,MGCL 1163576_8074.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163576,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163577,MGCL 1163577_8076.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163577,"JAMAICA: St. Catherine Par. : Hellshire Hills, ca. 5 mi. S. Spanish Town 27 March 1977",G T Austin colln MGCL Acc. 2004-5,,
MGCL 1163578,MGCL 1163578_8078.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163578,"FEB 3, 87 JAM MONTEGO BAY",J. D. Hedbor MGCL Access. # 2012-35,Phoebis sennae ♂,
MGCL 1163579,MGCL 1163579_8081.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163579,"Port Antonio, Jamaica July 19, 1970 C. J. Goodall",PHOEBIS EDITHA DET. R. V. GRSGG,Transfer from Univ. of Ky. Collection MGCL Accession #2015-15,
MGCL 1163580,MGCL 1163580_8087.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163580,Jamaica North Coast 23 July 1974 L. Harris,Jamaica 12/23/74,L. Harris colln. MGCL Accession #2009-32,
MGCL 1163581,MGCL 1163581_8089.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163581,Jamaica North Coast 23 July 1974 L. Harris,Jamaica N. coast 12/23/74,L. Harris colln. MGCL Accession #2009-32,
MGCL 1163582,MGCL 1163582_8091.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163582,Jamaica North Coast 23 July 1974 L. Harris,Jamaica 12/23/74,L. Harris colln. MGCL Accession #2009-32,
MGCL 1163583,MGCL 1163583_8093.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163583,"Worthy Park, Saint Catherine Parish, JAMAICA 12/12/70 Carlos & Dinora Valerio Leg.",Generic MGCL Accession unnumbered,,
MGCL 1163584,MGCL 1163584_8095.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163584,"2 mi. W. of Morant Bay, St. Thomas Parish, JAMAICA 12/17/70 Carlos & Dinora Valerio Leg.",Generic MGCL Accession unnumbered,,
MGCL 1163585,MGCL 1163585_8097.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163585,"2 mi. W. of Morant Bay, St. Thomas Parish, JAMAICA 12/17/70 Carlos & Dinora Valerio Leg.",Generic MGCL Accession unnumbered,,
MGCL 1163586,MGCL 1163586_8099.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163586,"Grove Place, Manchester Parish, JAMAICA 12/15/70 Carlos & Dinora Valerio leg.",Generic MGCL Accession unnumbered,,
MGCL 1163587,MGCL 1163587_8101.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163587,"Worthy Park, Saint Catherine Parish, JAMAICA 12/11/70 Carlos & Dinora Valerio leg.",Generic MGCL Accession unnumbered,,
MGCL 1163588,MGCL 1163588_8103.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163588,"Worthy Park, Saint Catherine Parish, JAMAICA 12/11/70 Carlos & Dinora Valerio leg.",Generic MGCL Accession unnumbered,,
MGCL 1163589,MGCL 1163589_0379.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163589,"Toll Gate, Clarendon Parish JAMAICA 12/16/70 Carlos & Dinora Valerio leg.",Generic MGCL Accession unnumbered,,
MGCL 1163590,MGCL 1163590_8106.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163590,"Spanish JAMAICA, 10.99",,,
MGCL 1163591,MGCL 1163591_8108.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163591,"R. BRUSH APR 1, 1962 UPTON JAMAICA",Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163592,MGCL 1163592_8110.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163592,"JAMAICA: Manchester Par. Middlesex Co., Plowden Hill, 2 mi. N Plowden Post Office 27.xi.1984 R. Eisele",Allyn Museum Acc. 1984-20,,
MGCL 1163593,MGCL 1163593_8112.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163593,R. BRUSH 12/15/65 TRRLAWNY JAMAICA W.I.,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163594,MGCL 1163594_8114.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163594,11/28/64 R. BRUSH CARDIFF HALL JAMAICA W.I.,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163595,MGCL 1163595_8116.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163595,R. BRUSH 3/8/61 ORACABeSSA JAMAICA BWI,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163596,MGCL 1163596_8118.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163596,Canchona 16/4/98,,,
MGCL 1163597,MGCL 1163597_8120.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163597,JAMAICA '98 W. J. K Nov 26 12.17,,,
MGCL 1163598,MGCL 1163598_8122.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163598,"JAMAICA: Manchester Par. Middlesex Co., nr. Auchtembeddie, 4 mi. N jct. Rtes B-6 & B-10 (on B-10) (in mts.) 26.xi.1984 R. Eisele",Allyn Museum Acc. 1984-20,,
MGCL 1163599,MGCL 1163599_8124.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163599,Jamaica 1998,,,
MGCL 1163600,MGCL 1163600_8126.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163600,R. BRUSH NOV. 1964 MONTeGO BAY JAMAICA,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163601,MGCL 1163601_8128.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163601,3/27/61 R. BRUSH MONTeGO BAY JAMAICA BWI,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163602,MGCL 1163602_8130.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163602,11/27/64 R BRUSH CARDIFF HALL RUNAWAY BAY JAMAICA WI.,Brush Colln. Allyn Museum Acc. 1983-15,,
